order_order_id,order_customer_id,order_order_date,order_order_status,order_order_total,customer_customer_id,customer_contact_id,customer_customer_since,customer_status,customer_segment,contact_contact_id,contact_email,contact_full_name,contact_phone,contact_country,contact_city,contact_address_line1,contact_company_name,contact_job_title,product_product_id,product_product_name,product_category,product_brand,product_list_price
O16,CU1685,2025-03-02,shipped,7172.78,CU1685,C2233,2021-09-25,inactive,corporate,C2233,russell75@yahoo.com,Mrs. Teresa Price,+1-033-073-5959x644,Egypt,Paulside,"08974 Denise Plaza
Baileybury, FL 98226",White Ltd,IT trainer,P199,veritatis,Electronics,"Mejia, Lowe and Butler",1206.57
O17,CU2891,2024-08-16,pending,9487.96,CU2891,C1391,2022-08-23,active,retail,C1391,destiny89@mooney-stanton.com,John Jenkins,672.979.1141x8507,Egypt,East Yvonne,"9607 Smith Manor
Garciaborough, ND 92431",Mitchell-Joyce,Radio producer,P439,in,Electronics,"Hall, Fields and Stanley",1754.4
O18,CU567,2025-03-17,shipped,5848.9,CU567,C2700,2024-03-25,inactive,retail,C2700,ejohnson@hill-hendrix.com,Danielle Mendez,+1-276-735-5145x761,Egypt,New Dawnberg,"0295 Michelle Stream
Ortegatown, TN 96339","Griffin, Santos and Brown",Chief Technology Officer,P294,eaque,Electronics,"Washington, Watson and Ward",1312.36
O19,CU512,2025-09-02,cancelled,3456.3,CU512,C1676,2024-03-26,inactive,retail,C1676,perezrichard@yahoo.com,Robert Lewis,(120)642-4294x0229,Egypt,Lake Tammy,"053 Hogan Shore Apt. 278
Lake Joshuatown, RI 95172","Johnson, Lopez and Green",Air cabin crew,P261,sunt,Food,Howell-Werner,2910.46
O20,CU728,2026-03-16,pending,9245.38,CU728,C1889,2023-10-14,inactive,corporate,C1889,millerneil@ward.info,Rebecca Richardson,497.432.0991,Egypt,Holmesbury,"99309 Sharon Overpass Suite 943
West Jennifer, NY 22681","Lee, Diaz and Baker",Quality manager,P447,excepturi,Electronics,Erickson LLC,1742.86
O21,CU2987,2024-09-05,cancelled,1227.27,CU2987,C1486,2022-03-23,active,retail,C1486,sara85@hall.com,John Fisher,(793)903-9295x612,Egypt,Andersonland,"02104 Reyes Underpass Suite 764
West Sydney, MD 73569","Schmidt, Massey and Le",Automotive engineer,P193,explicabo,Clothing,Lewis-Walker,1590.69
O22,CU2995,2025-12-31,pending,3871.85,CU2995,C1121,2022-04-10,active,corporate,C1121,jenniferyoung@wilson-butler.info,Courtney Becker,0572543214,Egypt,Lake Robert,"730 Scott Motorway Apt. 038
North Jacquelinefort, WV 19492",Smith Group,"Therapist, speech and language",P195,nobis,Clothing,Lee Group,1226.63
O23,CU2573,2025-03-28,pending,8986.39,CU2573,C2731,2026-04-10,inactive,corporate,C2731,matthewwood@gmail.com,Jonathan Evans,+1-538-235-1858x3948,Egypt,New Saraton,"7124 Vanessa Ramp Apt. 331
Port David, MN 62930","Salazar, Flores and Morales",Medical sales representative,P465,commodi,Electronics,Trevino LLC,1501.88
O24,CU2052,2026-04-07,shipped,3704.63,CU2052,C55,2025-05-19,active,corporate,C55,emilykoch@sullivan.org,Samantha Rodgers,+1-734-442-7175,Egypt,North Joseph,"9796 Michelle Track Apt. 176
Lake Kristinaport, WA 25460","Cooper, Anderson and Rodriguez",Analytical chemist,P498,quos,Clothing,"Terry, Smith and Swanson",3545.01
O25,CU1716,2025-01-01,pending,3076.1,CU1716,C704,2025-04-19,inactive,corporate,C704,amybecker@richardson.net,Wayne Dean,357.718.7077x843,Egypt,West Katherine,"0150 Taylor Ferry
Gomezchester, CT 24712",Beck and Sons,"Librarian, public",P71,voluptatum,Electronics,Pope LLC,3938.21
O26,CU117,2024-07-25,pending,8720.52,CU117,C2830,2025-05-15,active,corporate,C2830,shannonjones@williams-evans.com,Tara George,893.621.4798,Egypt,Millerchester,"10587 Ian Parks
Jeffreyton, AZ 67390",Kelly PLC,Optometrist,P358,modi,Food,Alexander LLC,2302.74
O27,CU2612,2025-06-09,shipped,3563.73,CU2612,C81,2025-08-09,inactive,retail,C81,hopkinsvirginia@gmail.com,Mrs. Carrie Yang,376-265-8290x2334,Egypt,Leehaven,"228 Julie Loop Apt. 587
South David, MT 30132","Webb, Francis and Mendoza","Investment banker, operational",P497,consectetur,Electronics,Lowe-Graham,2867.07
O28,CU1383,2025-05-05,shipped,8349.17,CU1383,C2071,2022-06-27,active,corporate,C2071,sullivankaren@yahoo.com,Scott Griffin,(044)152-2186x04798,Egypt,West Cody,"1045 Goodwin Dam
Stephanieberg, DC 80168",Farley and Sons,Data scientist,P87,tempore,Food,Smith-Wright,352.43
O29,CU748,2025-01-24,pending,9259.34,CU748,C876,2023-05-30,inactive,corporate,C876,tmoore@gmail.com,Miss Anne Delgado,854-256-2291x2445,Egypt,Kathyside,"768 Alice Point
East Phillip, NV 58193","Wood, Arnold and Smith","Lecturer, higher education",P175,deserunt,Clothing,Patrick-Miller,3639.47
O30,CU2848,2024-09-29,pending,5484.58,CU2848,C1481,2023-05-29,inactive,corporate,C1481,rmedina@yahoo.com,Zachary Ross,+1-595-683-3088x9914,Egypt,Lake Matthewtown,"USS Brown
FPO AP 62013","Russell, Archer and Fernandez",Contractor,P277,assumenda,Food,Cruz-Garcia,3768.51
O31,CU704,2024-06-30,cancelled,6737.78,CU704,C1659,2024-12-18,active,retail,C1659,psanchez@soto-harper.info,Evan Johnson,108-982-2362x9843,Egypt,East Michael,"48710 Brett Loaf
Robertside, PA 92587","Coleman, Potter and Waters",Neurosurgeon,P416,quasi,Clothing,Young-Thomas,4063.79
O32,CU796,2024-12-03,pending,1239.38,CU796,C2656,2023-03-07,active,retail,C2656,rogersjohn@gmail.com,Jeremy Schultz,826-954-7746,Egypt,Lichester,"56660 Poole Shore
Dixonside, RI 16014","Peters, Davidson and Gallagher","Nurse, adult",P249,ab,Clothing,Hebert-Ramirez,4873.74
O33,CU2400,2025-05-04,pending,7801.76,CU2400,C1224,2023-12-17,active,corporate,C1224,stevenmorgan@hotmail.com,Robin Garcia,001-728-042-9302x1385,Egypt,Thomasstad,"231 Christopher Road Apt. 677
West Connie, NV 16853",Walker-Berry,"Accountant, chartered public finance",P20,non,Electronics,Perez and Sons,4111.17
O34,CU2978,2026-03-31,shipped,1438.43,CU2978,C264,2022-11-12,active,corporate,C264,briannasimpson@hotmail.com,Abigail Trujillo,(255)882-8850x95855,Egypt,North Marciabury,"USS Cross
FPO AE 67589","Nelson, Vargas and Stone",Sub,P360,veniam,Food,"Barnes, Hamilton and Smith",4102.78
O35,CU1755,2026-02-21,cancelled,885.61,CU1755,C646,2022-10-31,active,retail,C646,xgonzales@gmail.com,Jennifer Riddle,927.692.8266x162,Egypt,Port Anthony,"695 Kari Loop Suite 655
West Jasmine, AL 95602",Mack-Little,Web designer,P340,corrupti,Clothing,"Sanders, Garcia and Garcia",1062.02
O36,CU2529,2024-06-25,cancelled,5917.98,CU2529,C2529,2025-09-16,inactive,corporate,C2529,juliacunningham@hotmail.com,Kirk Craig,498-597-7330,Egypt,North Kelseyville,"2259 Cox Plains Suite 286
East Josephfurt, NC 68689","Rodriguez, Edwards and Johnson",Magazine features editor,P399,hic,Clothing,"Ward, Perez and Clark",788.95
O37,CU100,2026-03-03,shipped,9641.01,CU100,C214,2021-06-30,inactive,corporate,C214,robert05@may.com,Wendy Wiggins,+1-830-208-7256x078,Egypt,North Heather,"Unit 6509 Box 8386
DPO AA 96495","Powers, Hamilton and Young",Clinical cytogeneticist,P203,labore,Clothing,Sanchez Group,1798.57
O38,CU1175,2026-04-08,cancelled,2927.32,CU1175,C888,2025-06-16,inactive,retail,C888,ralphwright@gardner.com,Bradley Weber,014-435-5236,Egypt,Espinozabury,"PSC 8244, Box 2577
APO AA 12795","Richardson, Hanson and Goodman",Trade union research officer,P69,officiis,Food,Henry LLC,86.74
O39,CU689,2025-02-06,pending,2310.64,CU689,C786,2025-07-14,inactive,corporate,C786,colemancaitlin@hotmail.com,Angela Rice,557.043.2440,Egypt,East James,"918 Johnson Ramp
Lake Taylor, VA 96735",Grimes-Stevens,Health physicist,P497,consectetur,Electronics,Lowe-Graham,2867.07
O40,CU2187,2024-10-26,cancelled,8081.35,CU2187,C627,2025-08-23,active,retail,C627,jeffrey94@yahoo.com,Alexis Russell,(805)565-2831x05987,Egypt,Harringtonport,"8361 Ellis Roads Apt. 209
New Bruceview, MD 34275",Nelson Group,Video editor,P323,quae,Food,"Joyce, Vargas and Dunn",1206.46
O41,CU1599,2025-02-01,pending,2661.9,CU1599,C646,2025-06-17,inactive,corporate,C646,xgonzales@gmail.com,Jennifer Riddle,927.692.8266x162,Egypt,Port Anthony,"695 Kari Loop Suite 655
West Jasmine, AL 95602",Mack-Little,Web designer,P392,ipsa,Food,Quinn Inc,4381.39
O42,CU1408,2024-11-03,pending,4307.62,CU1408,C1020,2023-09-05,inactive,retail,C1020,kfreeman@gonzalez.org,Michael Scott,018.374.1865x22840,Egypt,Johnsonview,"8354 Chelsey Street
New Julie, KY 97108",Benitez-Lambert,Financial planner,P401,officia,Electronics,Ruiz-Ellis,820.56
O43,CU2694,2024-10-20,cancelled,2128.53,CU2694,C282,2023-04-14,active,retail,C282,joshua74@yahoo.com,Ashley Pham,001-250-026-5135,Egypt,Port William,"44179 Rodriguez Locks Apt. 684
Raymondshire, PA 40094","Hart, Love and Cox",Adult nurse,P242,dolorem,Electronics,Salinas PLC,737.15
O44,CU1911,2025-03-09,shipped,3183.24,CU1911,C2709,2023-05-21,active,corporate,C2709,christine11@watson.org,Christina Martin,+1-743-025-2902,Egypt,Cohenmouth,"207 House Ridges Suite 194
Brownfort, DE 62278",Reynolds-Daniels,Product designer,P497,consectetur,Electronics,Lowe-Graham,2867.07
O45,CU2298,2025-09-03,pending,9311.61,CU2298,C2955,2023-04-19,active,retail,C2955,sanchezamy@bennett.com,Michael Ward,0374541979,Egypt,East Ashleyton,"11205 Brandt Island Apt. 151
Port Gary, VA 88472",Bell PLC,Marketing executive,P413,ipsa,Electronics,Mills Ltd,962.81
O46,CU2623,2024-05-11,pending,7040.02,CU2623,C2756,2023-04-16,inactive,retail,C2756,hooversamantha@gmail.com,Laura Love MD,085.570.8857x04491,Egypt,Alantown,"77069 Cardenas Mountain
Davidchester, NV 92417",Solomon PLC,Trade mark attorney,P433,quisquam,Electronics,Graham-Boyd,4744.48
O47,CU1184,2025-04-02,shipped,9202.39,CU1184,C2205,2022-11-11,inactive,retail,C2205,adamharris@hotmail.com,Joel Owens,454-317-2679x2975,Egypt,West Sharon,"USNS Jones
FPO AE 68778","Miller, Miller and Pennington","Nurse, adult",P332,ullam,Clothing,White-Brown,275.24
O48,CU2614,2025-04-23,shipped,6856.47,CU2614,C2125,2024-04-03,inactive,retail,C2125,michael19@yahoo.com,Derek Jackson,561.575.9452x27954,Egypt,Marcusmouth,"6633 David Lodge Apt. 167
South Nichole, WV 34492","Chan, Taylor and Herman",Air cabin crew,P393,quae,Clothing,Gonzalez Group,2262.0
O49,CU42,2025-12-16,shipped,6476.9,CU42,C2500,2022-05-21,active,corporate,C2500,hernandezkatherine@nguyen.info,Benjamin Franklin,1749875990,Egypt,Ramirezland,"2715 Eric Tunnel
Lake Mollyview, CT 05702",Mcdonald Inc,Health visitor,P215,excepturi,Electronics,"Williams, Barr and Fox",4766.42
O50,CU2858,2026-03-16,pending,773.81,CU2858,C320,2021-07-05,inactive,retail,C320,cmiller@valentine.org,Jonathan Haley,(757)480-2983,Egypt,Jamesburgh,"03703 Morris Centers
Allenstad, KS 79002",Martin Group,"Engineer, maintenance (IT)",P60,nobis,Electronics,"Cole, Strickland and Garcia",1087.94
O51,CU2140,2026-01-14,cancelled,4255.76,CU2140,C1382,2026-02-14,inactive,retail,C1382,mackjill@hotmail.com,Kimberly Barrera,781.204.5246x58085,Egypt,Cummingsside,"7441 Jennifer Haven Suite 265
West Jasonside, IA 64102",Tucker-Galloway,"Programmer, systems",P461,natus,Clothing,"Reeves, Young and Walker",3264.78
O52,CU1046,2024-07-21,shipped,8580.67,CU1046,C2425,2022-09-07,inactive,retail,C2425,millerbrandon@hotmail.com,Kimberly Gonzalez,(578)425-9071x9859,Egypt,Susanburgh,"69470 Hall Mountains Suite 681
Keithborough, NY 48702","Anderson, Davis and Lopez","Designer, blown glass/stained glass",P308,alias,Clothing,Ortiz LLC,3587.16
O53,CU2654,2025-09-17,cancelled,9022.34,CU2654,C1682,2025-03-14,inactive,retail,C1682,robert91@baldwin-watts.com,Cody Hobbs,(950)820-0537x709,Egypt,Bryanstad,"USNV Frazier
FPO AP 65046",Ellis-Bryan,Site engineer,P452,magnam,Food,"Smith, Lopez and Serrano",1818.85
O54,CU1519,2025-07-11,pending,2238.34,CU1519,C1900,2023-05-30,inactive,corporate,C1900,rmccall@gmail.com,Richard Roberts,+1-642-806-6140x6300,Egypt,Joshuachester,"84062 Matthews View
Lake Philip, AR 69086",Howell LLC,Higher education careers adviser,P161,nostrum,Clothing,"Fox, Miller and Sanchez",2872.92
O55,CU1382,2024-06-17,shipped,5231.53,CU1382,C15,2024-01-07,active,retail,C15,mcdanieltyler@johnson.com,William Morton,249-440-6123x2540,Egypt,Robertview,"PSC 0894, Box 6848
APO AA 81661","Perez, Gomez and Wilson",Occupational therapist,P57,itaque,Food,Johnson-Miller,682.21
O56,CU1795,2025-04-22,shipped,789.6,CU1795,C365,2022-06-24,active,retail,C365,hodgeshawn@mann.net,Michelle Johnson,(310)226-6827,Egypt,Bondview,"8476 Sara Spur
West Michael, ID 92475","Bryant, Smith and Grimes",Careers information officer,P186,odit,Electronics,"Mcclure, Taylor and Hopkins",4922.95
O57,CU1323,2025-09-19,cancelled,969.48,CU1323,C1966,2024-03-08,active,retail,C1966,kyle87@yahoo.com,Sarah Williams,268.020.0626,Egypt,South Haroldshire,"516 Livingston Stream Apt. 836
East John, DE 83124",Dunn Inc,Midwife,P293,magnam,Food,Jones-Bennett,211.75
O58,CU132,2025-08-03,cancelled,1549.27,CU132,C2377,2023-09-27,active,corporate,C2377,catherine24@phillips.com,Jenny Reilly,(771)274-2321x6992,Egypt,Christinaberg,"992 Jose Mission
West Rodneyton, AK 94877","Schneider, Berry and Jacobs",Research scientist (medical),P42,earum,Clothing,Robinson-Hayden,1804.88
O59,CU2265,2026-02-22,shipped,293.35,CU2265,C2436,2023-02-01,active,corporate,C2436,smithgarrett@gmail.com,Andrew Walters,3192068662,Egypt,Kellyland,"3192 Robert Lake
New Davidview, MS 91336","Rodriguez, Thompson and Freeman",Photographer,P18,modi,Clothing,Rios-Turner,4049.42
O60,CU1454,2025-04-12,pending,622.89,CU1454,C1215,2022-11-30,active,corporate,C1215,shanebutler@barnes.com,Deanna Clark,300.929.0858x292,Egypt,Johnsonbury,"469 Brandi Extension Suite 529
New Antoniomouth, LA 12444","Love, Warren and Bautista",Building surveyor,P144,eius,Clothing,Meadows-Richardson,4672.21
O61,CU2026,2026-02-25,pending,1978.71,CU2026,C1044,2025-06-22,active,corporate,C1044,wlevy@holland-lee.com,Wesley Hayes,001-580-956-7205x2842,Egypt,Weissborough,"USNS Burnett
FPO AA 69021","Rodriguez, Smith and Cox","Teacher, special educational needs",P300,adipisci,Food,"Williams, Clark and Peck",962.0
O62,CU2866,2025-02-25,shipped,2189.49,CU2866,C1451,2024-09-08,inactive,retail,C1451,pparrish@jackson.info,Kathleen Young,(579)367-2815x6097,Egypt,Zamoraton,"779 Albert Shore Apt. 579
Hammondmouth, SC 78173","Jones, Watson and Austin",Social researcher,P405,nisi,Food,Shields and Sons,3888.5
O63,CU1126,2026-01-02,pending,7213.75,CU1126,C2077,2022-01-28,inactive,corporate,C2077,gina54@hartman-williams.com,Margaret Davis,083.893.1174x983,Egypt,South Kendrafort,"57919 Matthew Spring Suite 063
Hensonbury, NC 67157",Smith-Bennett,Medical laboratory scientific officer,P408,nisi,Electronics,"Mccoy, George and Johnston",1298.95
O64,CU883,2026-04-09,cancelled,9232.68,CU883,C1044,2022-09-02,active,corporate,C1044,wlevy@holland-lee.com,Wesley Hayes,001-580-956-7205x2842,Egypt,Weissborough,"USNS Burnett
FPO AA 69021","Rodriguez, Smith and Cox","Teacher, special educational needs",P338,aut,Clothing,Hayes-Peterson,4034.58
O65,CU2979,2024-05-01,shipped,9863.38,CU2979,C2838,2023-09-04,inactive,corporate,C2838,rebeccacastro@yahoo.com,Thomas Mosley,001-253-777-3389x853,Egypt,East Brian,"006 Calderon Parkways
Clarkbury, AZ 67260",Soto-Vazquez,Pathologist,P289,provident,Clothing,Coleman-Bates,4638.45
O66,CU483,2025-03-07,shipped,6589.02,CU483,C334,2023-02-19,inactive,retail,C334,brentspencer@yahoo.com,Peter Gaines,+1-526-330-9306x13136,Egypt,West Kiaramouth,"04068 Ward Mews
Drakeland, VA 31427",Jennings-Morris,Dispensing optician,P238,labore,Food,"Turner, Murphy and Anderson",4303.78
O67,CU1914,2024-12-22,pending,8832.52,CU1914,C2235,2023-01-28,inactive,corporate,C2235,ejensen@yahoo.com,Benjamin Lawson,592-596-4884x3779,Egypt,Jonesport,"601 April Via
New Joshire, SD 94668","Oneill, Anderson and Middleton","Sound technician, broadcasting/film/video",P296,placeat,Food,Brown Group,2002.22
O68,CU2608,2024-10-15,cancelled,1025.89,CU2608,C253,2022-07-10,active,retail,C253,kathrynharrison@eaton-pitts.com,William Mccoy,+1-213-061-6332x755,Egypt,South Patricia,"53459 Burns Row Suite 629
Leahstad, NY 38836","Morales, Smith and Davis",Occupational psychologist,P193,explicabo,Clothing,Lewis-Walker,1590.69
O69,CU2239,2024-11-25,cancelled,8298.17,CU2239,C877,2025-09-26,inactive,corporate,C877,simpsonjamie@yahoo.com,Mrs. Kelly Herrera,(502)090-6652x30276,Egypt,Jeremymouth,"84769 Shannon Cove Suite 919
Bryantport, NC 91939",Yoder-Bowen,Higher education lecturer,P26,dolor,Food,Quinn-Frost,1252.18
O70,CU238,2025-04-21,pending,5314.1,CU238,C625,2022-04-17,inactive,corporate,C625,allisonmartinez@ross-clark.com,Jennifer Lewis,913.719.2477x1437,Egypt,Sandrastad,"4558 Holland Manors Suite 653
Pattersonview, WI 56679",Martinez-Gomez,Armed forces technical officer,P109,expedita,Clothing,Curtis and Sons,1635.45
O71,CU546,2025-09-15,cancelled,6044.17,CU546,C1638,2025-03-31,active,corporate,C1638,mckeeryan@howard-turner.com,Katrina Contreras,599.323.1957,Egypt,West Kelly,"60970 Perez Centers
West Andreaport, FL 96528",Henderson-Kim,Licensed conveyancer,P160,ea,Clothing,Roth-Warren,2678.67
O72,CU1585,2026-03-19,cancelled,2938.3,CU1585,C2196,2024-01-26,active,retail,C2196,seth82@perez.org,John Blankenship,(417)892-5776x74664,Egypt,Port Joshuastad,"54363 Perez Cliff Suite 181
Port Dennisburgh, ND 61355",Cruz-Johnson,Sports therapist,P110,architecto,Clothing,Clark PLC,2649.96
O73,CU2089,2026-01-29,pending,5731.74,CU2089,C1830,2024-10-13,inactive,retail,C1830,morenomaxwell@tran-andersen.com,Jonathan Tanner,186-843-2968x88698,Egypt,Reyesville,"7399 Kim Crossroad
Lake Stephanie, WA 66258",Lee-Thomas,Volunteer coordinator,P497,consectetur,Electronics,Lowe-Graham,2867.07
O74,CU2855,2025-09-23,pending,1632.09,CU2855,C2329,2026-04-15,inactive,retail,C2329,victoriapotter@ray-griffin.org,Robert Ho,5204127523,Egypt,Kristahaven,"307 Whitehead Grove
West Angelabury, KS 87769","Cantrell, Johnson and Abbott",Analytical chemist,P389,molestias,Electronics,"Hardy, Bruce and Williams",1541.98
O75,CU2638,2024-08-25,pending,4773.64,CU2638,C1090,2023-07-18,inactive,retail,C1090,gonzalezangela@lucas.com,Allison Smith,462-986-1067x93621,Egypt,Mooremouth,"352 Lewis Meadow Suite 099
East Jeffery, MS 01024","Phillips, Smith and Fernandez",Banker,P231,voluptate,Food,"Jones, Clay and Keller",4695.96
O76,CU1493,2025-03-07,cancelled,7232.42,CU1493,C2796,2024-01-01,inactive,corporate,C2796,andreaperry@ho-rodriguez.com,Craig Scott,372-791-8440,Egypt,Williamstown,"PSC 7062, Box 9294
APO AE 35537",Allen-Castro,Energy manager,P127,quae,Clothing,Cruz Inc,4215.59
O77,CU1818,2024-10-30,shipped,2723.12,CU1818,C1109,2023-03-23,inactive,corporate,C1109,ruben84@yahoo.com,John Banks,586-823-0556,Egypt,West Tina,"15258 Romero Stream
Port Davidstad, NY 23044",Fowler-Taylor,Marketing executive,P260,earum,Food,"Moss, Garcia and Vargas",805.43
O78,CU969,2026-04-14,shipped,669.59,CU969,C2035,2022-01-15,inactive,retail,C2035,oevans@gmail.com,Michael Williams,(721)782-3290x26848,Egypt,Dannymouth,"883 Jennifer Valley Apt. 870
South Marcusbury, VA 26542",Gibbs Group,"Conservator, museum/gallery",P373,tempora,Clothing,"Diaz, Davenport and White",1757.49
O79,CU2602,2025-07-10,pending,3592.63,CU2602,C82,2023-08-12,inactive,retail,C82,eprice@eaton.com,Alexander Ingram,783.643.9671x509,Egypt,Lake Alexander,"5999 Anderson Creek
Christopherland, IL 55356",Mcmillan Ltd,International aid/development worker,P194,rem,Clothing,"Morales, Wilson and Williams",1766.49
O80,CU102,2024-11-19,cancelled,9033.65,CU102,C176,2022-12-04,active,corporate,C176,veronicalove@gmail.com,Dana Schneider,+1-908-224-9246x4775,Egypt,Collinsburgh,"177 Newton Square
Mejiaton, AK 25769",Silva-Burke,"Nurse, children's",P14,optio,Clothing,"Gutierrez, Frederick and Moore",2109.94
O81,CU1087,2024-10-20,pending,9770.51,CU1087,C435,2024-02-03,active,retail,C435,stevenortiz@hernandez.org,Miss Pamela Cowan MD,090-976-7478x305,Egypt,Eugeneburgh,"36178 Heather Fort
Brockton, RI 50604",Lawrence-Johnston,Astronomer,P82,magnam,Clothing,"Navarro, Lewis and Watson",1519.72
O82,CU897,2025-01-09,pending,844.44,CU897,C1767,2025-08-07,inactive,retail,C1767,kevinperry@morgan.com,Shannon Adkins,469.161.9382x47991,Egypt,Evansmouth,"2665 Berry Green
Lake Reginald, DC 25091",Kelley Group,Tourism officer,P126,fugiat,Food,Mckenzie-Reyes,1583.2
O83,CU2707,2024-09-27,cancelled,3046.38,CU2707,C555,2023-05-12,active,corporate,C555,eanderson@hotmail.com,Samuel Fisher,(208)352-6244x24566,Egypt,West Richard,"59035 John Walk
North Jeffrey, WY 34992",Barton Group,"Engineer, production",P124,ipsam,Clothing,Anderson Inc,3953.69
